Date_shipped,Tracking_number,Inventory,Order_item,MSKU,SKU,Item_name,Quantity,Shipped_From,Shipped_To,Date_received,Received,Partially_received,Damaged,C,C
2025-05-05,123123134,adjustment,395,1047654,1047654,Patanjali Divya Renogrit Tablets 60tabs,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,396,PATAN-NOVA-2630-01,PATAN-NOVA-2630-01,Patanjali Balm 25g,2,0,19,2025-05-05,2,0,0,5,
2025-05-05,123123134,adjustment,397,PATAN-NOVA-16284-01,PATAN-NOVA-16284-01,Patanjali Divya Nari Kanti 60 Tablets,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,expired,398,PATAN-NOVA-420-01,PATAN-NOVA-420-01,Patanjali Pachak Anardana Goli 100g,-2,0,19,2025-05-05,-2,0,0,0,
2025-05-05,123123134,adjustment,399,PATAN-NOVA-1970-01,PATAN-NOVA-1970-01,Patanjali Giloy Amla Juice 500ml,-1,0,19,2025-05-05,-1,0,0,3,
2025-05-05,123123134,adjustment,400,HCAVPT0027,HCAVPT0027,Patanjali Haritaki Churna,-1,0,19,2025-05-05,-1,0,0,0,
2025-05-05,123123134,adjustment,401,PATAN-NOVA-1306-01,PATAN-NOVA-1306-01,Patanjali Dant Kanti Natural Tooth Paste 100g,-1,0,19,2025-05-05,-1,0,0,5,
2025-05-05,123123134,adjustment,402,PATAN-NOVA-1620-01,PATAN-NOVA-1620-01,Patanjali Divya Kutajghan Vati 80 Tab,-2,0,19,2025-05-05,-2,0,0,1,
2025-05-05,123123134,adjustment,403,PATAN-NOVA-10814-01,PATAN-NOVA-10814-01,Patanjali Divya Kanthamrit Vati 40Tabs,-6,0,19,2025-05-05,-6,0,0,1,
2025-05-05,123123134,adjustment,404,PATAN-NOVA-1340-01,PATAN-NOVA-1340-01,Patanjali Giloy Ghanvati,-1,0,19,2025-05-05,-1,0,0,5,
2025-05-05,123123134,adjustment,405,PATAN-NOVA-2129-01,PATAN-NOVA-2129-01,Patanjali Godhan Ark or Gomutra Ark 450ml,-1,0,19,2025-05-05,-1,0,0,1,
2025-05-05,123123134,adjustment,406,PATAN-NOVA-2336-01,PATAN-NOVA-2336-01,Patanjali Praval Panchamrit Ras 5g,2,0,19,2025-05-05,2,0,0,2,
2025-05-05,123123134,adjustment,407,PATAN-NOVA-1766-02,PATAN-NOVA-1766-02,Patanjali Sitopladi Churn 23g,1,0,19,2025-05-05,1,0,0,1,
2025-05-05,123123134,adjustment,408,PATAN-NOVA-2103-01,PATAN-NOVA-2103-01,Patanjali Divya Kaishore Guggul 40 Tablets,-2,0,19,2025-05-05,-2,0,0,1,
2025-05-05,123123134,adjustment,409,AV0054,AV0054,Patanjali Olive Hand Wash 175ml,6,0,19,2025-05-05,6,0,0,6,
2025-05-05,123123134,adjustment,410,1151836,1151836,Patanjali Triyodashang Guggul 40Tabs,11,0,19,2025-05-05,11,0,0,11,
2025-05-05,123123134,expired,411,PATAN-NOVA-1619-01,PATAN-NOVA-1619-01,Patanjali Vrikkdoshhar Vati,2,0,19,2025-05-05,2,0,0,2,
2025-05-05,123123134,adjustment,412,PATAN-NOVA-3402-01,PATAN-NOVA-3402-01,Patanjali Swarn Basant Malti Ras 1g,4,0,19,2025-05-05,4,0,0,4,
