invoiceidno,itemdescription,quantity,rate,msku,
7498,Rhus Tox Dilution 30 CH (11ml),1,232.2,38639,
7499,SBL Agnus Castus Dilution 200 CH 30ml,1,236.44,42719,
7500,Natrum Carbonicum 200,1,236.44,43296,
7501,Avena Sativa Mother Tincture (20ml),1,338.13,38446,
7502,Kali Bichromicum 200CH,1,236.44,42789,
7503,Staphysagria,1,469.91,42094,
7503,Tinospora Cordifolia,1,194.49,42057,
7504,Podophyllum Dilution 30 CH (11ml),1,232.2,38733,
7505,Gelsemium Sempervirens 30CH,1,219.49,42661,
7506,Phytolacca Berry 30 CH,1,219.49,42952,
7507,Sulphur (1000 CH) (30 ML),1,261.86,42649,
7508,Naja Tripudians 1000 CH,1,261.86,42625,
7509,Acidum Nitricum Dilution 30 CH,1,232.2,38705,
7510,Symphytum Officinale Dilution 200 CH,1,236.44,42736,
7511,Dr. Reckeweg Tuberculinum B Dilution200 CH,1,253.39,38775,
7512,Pure Silver Bilva Patra 27 Grams (Pack of 108),1,4292.37,900628,
7513,Cocculus indicus,1,325.42,42236,
7514,SBL Hydrocotyle Asiatica Mother Tincture Q - 30ml,1,227.97,42087,
7515,SBL Jacaranda Caroba Mother Tincture Q - 30ml,1,325.42,42111,
7516,Folliculinum 200 CH,1,227.97,42961,
7517,Thuja Occidentalis,1,261.86,42033,
7518,Colchicum Autumnale,1,261.86,42244,
7519,Hydrocotyle Asiatica,1,227.97,42087,
7520,Juglans Regia,1,240.68,42260,
7521,Palharam Gummadi Vadiyalu 100gms,1,380.5,1024390,
7522,Staphysagria,1,511.86,42094,
7523,Carbo Animalis Dilution 200 CH (11ml),1,253.39,40471,
7524,Liatris Spicata,1,427.12,42219,
7525,Naja Tripudians 30,1,219.49,43979,
7526,Vanadium Metallicum 30 CH,2,177.54,43033,
7527,Naturogin Velagapandu Pachadi/Wood Apple Pickle/Chutney,1,545.76,UZ-9YND-3GYQ,
7528,Vanadium Metallicum 30 CH,1,219.49,43033,
7529,Chenopodium Anthelminticum 6 CH,1,219.49,42882,
7530,Justicia Adhatoda Dilution 1000 CH,4,198.94,42916,
7531,Croton Tiglium,1,227.97,42330,
7532,Naja Tripudians 1000 CH,1,261.86,42625,
7533,SBL Tarentula Hispanica Dilution 200 CH,1,236.44,43008,
7534,Fel Tauri 30 CH,1,219.49,43018,
7535,SBL Iodium Dilution 30 CH,1,219.49,42816,
7536,Dr. Reckeweg R59 Obesity and Slimming Drop,1,350.85,38348,
7537,SBL Physostigma Venenosum Mother Tincture Q,1,427.12,42341,
7538,Stellaria Media Dilution 30 CH,1,219.49,43795,
7539,Dr. Reckeweg Chelidonium Majus Mother Tincture Q,1,338.13,38504,
7540,Causticum Dilution 1000 CH,1,261.86,42914,
7541,Dr. Reckeweg Chelidonium Majus Mother Tincture Q,1,338.13,38504,
7542,Anacardium Occidentale 30 CH,1,219.49,42931,
7543,SBL Hydrocotyle Asiatica Mother Tincture Q - 30ml,1,227.97,42087,
7544,Aconitum Napellus 1000 CH,1,261.86,46189,
7545,Osteo Arthritic Nosode 200 CH,1,219.49,42911,
7546,Hydrastis Canadensis,1,455.93,42035,
7546,SBL Balsum Peru Mother Tincture Q,1,286.44,1027503,
7546,Eucalyptus Globulus,1,172.03,42237,
7547,Sarsaparilla,1,325.42,42058,
7548,Graphites Dilution 1000 CH,1,261.86,43185,
7549,Dr. Reckeweg Lemna Minor Dilution 30 CH,1,232.2,38743,
7550,Pure Silver Mirror 25 Grams,1,3993.22,900486,
